id_num,held,race,sex,prior.traffic,region,employed,citizen,databases,year,age
1,0,White,Male,1,North,No,Yes,0,2003,40
2,0,White,Male,1,East,Yes,Yes,2,2002,17
3,0,White,Male,0,South,Yes,Yes,0,2003,26
4,0,White,Male,1,West,Yes,Yes,1,2005,37
5,0,White,Male,2,West,No,Yes,4,2003,49
6,0,Black,Male,2,East,No,No,3,2005,31
7,0,White,Male,2,North,Yes,No,0,2004,16
8,0,White,Male,1,East,Yes,Yes,0,2002,22
9,1,Black,Female,0,North,Yes,Yes,0,2005,23
10,1,White,Male,0,West,No,Yes,2,2002,35
11,1,Black,Male,1,West,No,No,2,2004,19
12,0,White,Male,1,East,Yes,Yes,0,2004,20
13,0,White,Male,1,West,Yes,Yes,0,2005,19
14,0,White,Male,0,West,No,Yes,2,2005,22
15,0,White,Male,2,North,No,Yes,0,2005,19
16,0,Black,Male,1,South,No,Yes,3,2004,25
17,0,White,Female,0,North,Yes,Yes,0,2003,24
18,0,Black,Male,1,South,Yes,Yes,3,2004,22
19,0,White,Male,2,East,Yes,Yes,0,2001,16
20,0,White,Male,2,West,Yes,Yes,3,2003,21
21,0,White,Male,0,East,Yes,Yes,1,2005,24
22,0,White,Male,0,West,Yes,Yes,0,2004,18
23,0,Black,Male,1,North,Yes,Yes,1,2005,24
24,0,White,Female,2,West,No,Yes,1,2005,45
25,1,Black,Male,1,West,Yes,Yes,1,2003,25
26,0,White,Male,1,West,Yes,Yes,4,2003,20
27,0,White,Female,0,West,No,Yes,3,2002,23
28,1,White,Male,2,South,Yes,Yes,2,2004,28
29,0,White,Male,2,East,Yes,Yes,1,2003,18
30,0,White,Male,2,West,Yes,Yes,1,2005,18
31,0,White,Male,0,South,Yes,Yes,3,2003,22
32,1,Black,Male,1,North,Yes,No,3,2001,36
33,1,White,Male,2,North,Yes,Yes,3,2003,42
34,0,White,Male,0,East,Yes,Yes,0,2004,34
35,0,Black,Male,1,West,No,No,0,1215,30
36,0,White,Male,2,East,No,Yes,1,2005,32
37,0,White,Male,2,South,Yes,Yes,1,2005,24
38,0,Black,Male,0,North,No,Yes,3,2003,22
39,0,White,Male,2,North,Yes,No,4,2001,18
40,0,White,Male,2,South,No,Yes,2,2005,24
41,1,Black,Male,0,South,No,Yes,3,2003,23
42,0,White,Male,0,East,Yes,Yes,0,2003,16
43,0,White,Male,1,East,No,Yes,2,2002,33
44,0,White,Male,1,West,No,Yes,0,2004,26
45,0,White,Male,2,North,Yes,No,0,2001,18
46,1,Black,Male,2,South,No,Yes,0,2002,23
47,0,White,Male,1,West,Yes,Yes,1,2005,19
48,0,White,Male,0,East,Yes,Yes,0,2003,19
49,0,White,Male,2,North,Yes,Yes,0,2005,16
50,1,Black,Male,1,East,No,No,4,2002,42
51,0,White,Male,2,South,Yes,Yes,1,2004,16
52,0,White,Male,2,South,Yes,Yes,0,2004,26
53,0,Black,Male,2,West,Yes,Yes,2,2005,26
54,0,White,Male,0,South,Yes,Yes,1,2004,23
55,0,White,Male,1,East,Yes,Yes,3,2006,17
56,0,White,Male,0,West,No,Yes,0,2004,20
57,0,White,Female,1,North,Yes,Yes,0,2004,23
58,0,Black,Male,2,West,Yes,Yes,1,2005,21
59,0,White,Female,0,East,Yes,Yes,0,2002,16
60,0,White,Female,1,East,Yes,Yes,0,2004,17
61,0,Black,Male,1,West,Yes,Yes,4,2004,32
62,0,White,Male,1,North,No,Yes,0,2005,23
63,0,White,Male,2,East,Yes,Yes,3,2004,48
64,0,White,Male,1,West,Yes,Yes,3,2005,35
65,0,White,Male,2,West,Yes,Yes,0,2004,18
66,0,White,Male,0,South,Yes,Yes,4,2001,44
